end_date,RiskFreeRate,TermSpread,DividendPriceRatio,NetEquityExpansion,PE,PB,DefaultSpread,svar
2012-11-30,2.86,0.6599999999999997,-2.095565275380981,-1.549510104388947,13.81,1.49,1.6046410040421932,0.0016742465839027856
2012-12-31,2.84,0.6800000000000002,-2.156956060037781,-1.5952237034859662,14.26,1.6,1.6021952288491406,0.004550892543324511
2013-01-31,2.68,0.7599999999999998,-2.1817274736262835,-1.5914903884532032,16.07,1.81,1.4955318190834723,0.002564731538126294
2013-02-28,2.64,0.8399999999999999,-2.185388010984079,-1.5798059915115417,16.84,1.89,1.3242999946369847,0.002320161229234276
2013-03-31,2.7,0.8399999999999999,-2.163266987568117,-1.5658789415822323,16.48,1.77,1.1477904092697868,0.004316486743672127
2013-04-30,2.61,0.73,-2.162012866969075,-1.5272060833857783,15.97,1.64,1.1413237594422847,0.00182419294821241
2013-05-31,2.71,0.5800000000000001,-2.1495806954514594,-1.544338516606293,17.31,1.62,1.1843954649838524,0.001374072690681116
2013-06-30,3.65,0.2699999999999996,-2.161691424418475,-1.5038265810452534,16.31,1.5,1.5577788352966315,0.005245195949569494
2013-07-31,3.58,0.1599999999999997,-2.1195654145600793,-1.5187019818350453,15.72,1.4,1.2667564931123148,0.003955303547812543
2013-08-31,3.5,0.3700000000000001,-2.1160717211767732,-1.550935851478676,16.57,1.42,0.9994590607556432,0.0017182247816745196
2013-09-30,3.67,0.45999999999999996,-2.1370497165193756,-1.5565081439914965,15.38,1.47,0.9164904866899761,0.0027080736358559327
2013-10-31,3.59,0.4800000000000004,-2.1316972601184903,-1.5520098466661514,15.68,1.44,1.0006789533715494,0.0019635280420777614
2013-11-30,4.18,0.3899999999999997,-2.1523768243066677,-1.5611513133234922,15.31,1.38,1.0069856643676738,0.0020042759887478343
2013-12-31,4.6,0.46999999999999975,-2.1238658367206966,-1.5136364467948318,15.49,1.36,1.2907499616796316,0.0018519908452218254
2014-01-31,4.02,0.6399999999999997,-2.136526087544862,-1.5192345886150393,15.09,1.37,1.4303682067177517,0.001629242018332311
2014-02-28,3.28,1.0600000000000005,-2.142628418295611,-1.5362353910438613,15.91,1.38,1.21703527955448,0.0017963993846000263
2014-03-31,3.07,1.33,-2.134667191459667,-1.5384456189344013,15.4,1.32,1.148757173901511,0.002374763680522474
2014-04-30,3.03,0.9599999999999995,-2.116071552499033,-1.5403529459141936,15.55,1.34,1.0798857098534005,0.0016896932520312608
2014-05-31,3.05,0.6999999999999997,-2.118947308059316,-1.5522278071639177,15.31,1.25,1.0923285143715988,0.000983709535550724
2014-06-30,3.02,0.73,-2.0446245797341263,-1.5581810552168367,15.63,1.27,1.2229399681091326,0.000871105856663179
2014-07-31,3.32,0.5800000000000001,-2.0431614743507014,-1.5859377980007272,16.31,1.35,1.1861217125602377,0.0015910955675287764
2014-08-31,3.53,0.4900000000000002,-2.067122094521693,-1.5968466788715756,17.49,1.42,1.2055524417332242,0.0012264861150703649
2014-09-30,3.58,0.38000000000000034,-2.109436875559461,-1.6231462874090976,16.18,1.37,1.2314272035251965,0.0016037409475312347
2014-10-31,3.54,0.29000000000000004,-2.1206473696073003,-1.598623768071716,16.73,1.34,1.2877368550551573,0.001384525552169407
2014-11-30,3.2,0.4299999999999997,-2.15853774000868,-1.607762650453246,17.44,1.36,1.2671150326728824,0.0021932068868716734
2014-12-31,3.33,0.38000000000000034,-2.213205306173574,-1.6462611091742763,20.19,1.79,1.843000038810398,0.012419415227009714
2015-01-31,3.26,0.3700000000000001,-2.2241445215342095,-1.6482928648581905,21.59,1.91,1.8514952091943657,0.012961302474760144
2015-02-28,3.12,0.3200000000000003,-2.249101288938694,-1.6351186963967579,21.75,1.8,1.9164882126976455,0.0028656724775028273
2015-03-31,3.16,0.3999999999999999,-2.3184323136719405,-1.673438941007979,24.49,1.88,1.8816863731904467,0.003977331657353078
2015-04-30,2.96,0.48,-2.373525814064746,-1.7357082047408854,29.68,2.15,1.6692857515244257,0.005763910950150024
2015-05-31,2.21,1.04,-2.40014493545708,-1.7464141400636954,34.38,2.09,1.0978750228881837,0.012731572799572126
2015-06-30,1.85,1.83,-2.3878138885521336,-1.6689695869016035,38.55,2.09,1.144633338564919,0.022641949457141704
2015-07-31,2.16,1.27,-2.261452119622759,-1.5293391414455089,29.38,1.85,1.0697129809338108,0.029917525209407388
2015-08-31,2.22,1.2100000000000004,-2.210136811727839,-1.442442298746779,28.4,1.64,0.8156857490539567,0.030609722243724113
2015-09-30,2.22,1.0,-2.1808985214137033,-1.4038791549617784,19.21,1.43,0.873357159750802,0.00885968508759221
2015-10-31,2.32,0.6699999999999999,-2.2320823483439387,-1.4462750180850303,21.32,1.5,1.016249987814162,0.004782687702879502
2015-11-30,2.47,0.5800000000000001,-2.2535502955440574,-1.4342942305615267,23.39,1.56,1.1562142826261983,0.006826378101315802
2015-12-31,2.4,0.52,-2.276041230837577,-1.41128506543226,24.01,1.56,1.3531999588012693,0.0036554600386568045
2016-01-31,2.29,0.5,-2.1598150391213746,-1.2227571042123424,19.9,1.41,1.252919983863833,0.024028568250359508
2016-02-29,2.18,0.56,-2.1490678069777562,-1.2050638926421202,18.98,1.33,1.2768667009141705,0.008066119521338636
2016-03-31,2.0,0.73,-2.2064924674599933,-1.2103392684829064,19.44,1.4,1.2900347709655748,0.00535972590252251
2016-04-30,2.11,0.69,-2.2099783125504118,-1.1773312371596214,20.55,1.39,1.4731799960136407,0.0018586990851184946
2016-05-31,2.2,0.6200000000000001,-2.157458358555889,-1.0992993175596224,21.84,1.3,1.526457150777182,0.0034403769558610377
2016-06-30,2.2,0.5500000000000003,-2.1963397142839476,-1.1496843057902035,22.53,1.32,1.4820762248266304,0.0019693271331174306
2016-07-31,2.18,0.5100000000000002,-2.1524626722011186,-1.1163419991991494,23.64,1.73,1.3740047613779716,0.001494602509627333
2016-08-31,2.05,0.5700000000000003,-2.152319953560972,-1.105175846208212,23.81,1.74,1.2925087058025866,0.0012828055208446744
2016-09-30,2.05,0.5899999999999999,-2.1433321543170294,-1.0592360505436718,21.99,1.68,1.2341190860384983,0.0009865646461967728
2016-10-31,2.0,0.54,-2.162838101892759,-1.0418174237703104,22.52,1.69,1.3497444258795845,0.0006858489156203012
2016-11-30,2.08,0.6499999999999999,-2.183593614771431,-1.05315915786879,23.08,1.67,1.4560681689869264,0.000844220042069747
2016-12-31,2.67,0.48,-2.163530104680504,-1.0410881633731872,22.58,1.66,1.918795627096425,0.0013393363858344783
2017-01-31,2.58,0.54,-2.1713162286507224,-1.045169194299608,22.24,1.69,1.7676368889055758,0.00042767821674413893
2017-02-28,2.6,0.5900000000000003,-2.191391911381256,-1.0620609299711186,22.76,1.72,1.8569210328553867,0.0005236932135200788
2017-03-31,2.75,0.5,-2.1887872350405893,-1.0743188257498835,23.17,1.72,2.058878276659095,0.0005846623091378742
2017-04-30,2.89,0.31999999999999984,-2.182516543199343,-1.062537696561873,22.88,1.71,2.017736811386912,0.0007587726311117111
2017-05-31,3.13,0.18000000000000016,-2.1708307214065945,-1.0665149475501279,22.85,1.67,1.9260142644246412,0.0006305093620552099
2017-06-30,3.4,0.029999999999999805,-2.182949906759281,-1.1075152456197257,23.34,1.79,2.0742136131633417,0.0005673949696328399
2017-07-31,3.11,0.1599999999999997,-2.2174729372031328,-1.1319767912796364,23.87,1.79,1.7803475970313674,0.0006239286113264364
2017-08-31,2.89,0.26000000000000023,-2.2365462204638575,-1.1608390798087553,24.28,1.82,1.8071173273998762,0.0010116420193110576
2017-09-30,3.04,0.16000000000000014,-2.2328065009087297,-1.198520214551622,21.44,1.78,1.880590959028764,0.00015818244398714112
2017-10-31,3.29,0.2400000000000002,-2.2396100666549197,-1.2278559954504615,21.78,1.87,1.7958470372592703,0.00020142212363608155
2017-11-30,3.65,0.2999999999999998,-2.2308121798331895,-1.2174968771591308,21.77,1.9,1.8430136442184433,0.0009907423453992183
2017-12-31,3.96,0.13000000000000034,-2.2358758233605807,-1.227881586251657,21.17,1.88,2.2363174065299667,0.0007836115701607664
2018-01-31,3.39,0.3799999999999999,-2.246236460811174,-1.2757157996891673,22.02,2.07,2.1531999219547613,0.0008533737969621782
2018-02-28,3.24,0.4900000000000002,-2.2280532382862717,-1.2514118440723783,20.58,1.99,2.1612411947811365,0.004530576925195584
2018-03-31,3.11,0.5,-2.2312775826583326,-1.25884857085211,20.95,1.92,2.2349181825464424,0.002085718296837058
2018-04-30,2.72,0.52,-2.224898644064216,-1.2421071681057976,20.33,1.77,2.189454996585846,0.0018953907401201124
2018-05-31,2.77,0.6200000000000001,-2.2259688916869944,-1.2375627616955018,19.92,1.73,2.356304504654624,0.0018996227683845813
2018-06-30,3.01,0.3799999999999999,-2.148734149420882,-1.2032444637180886,18.64,1.7,2.4254050374031064,0.0030282106341018404
2018-07-31,2.48,0.48999999999999977,-2.1344078439014016,-1.19951157621884,17.66,1.67,2.1120954318480063,0.003248104981317282
2018-08-31,2.1,0.7599999999999998,-2.0877925824257533,-1.1760417424696277,16.95,1.64,1.653130406918734,0.0037860015073396245
2018-09-30,2.13,0.7200000000000002,-2.10564658497566,-1.1913569342262882,14.39,1.55,1.5068666707901728,0.002210501975219505
2018-10-31,2.11,0.69,-2.065801856670239,-1.167957129834834,13.43,1.51,1.5972111887402014,0.009017835819356439
2018-11-30,2.29,0.8400000000000003,-2.0711793139469235,-1.180926668501674,13.88,1.45,1.703245455568487,0.0030263315332792256
2018-12-31,2.58,0.7399999999999998,-2.0517186157973377,-1.1526903630326988,13.59,1.41,1.8854217425636626,0.0019031958215375672
2019-01-31,2.32,0.7200000000000002,-2.0674135092002244,-1.1514018894661753,13.53,1.5,1.8835727626627135,0.0014556724826846788
2019-02-28,2.13,0.7800000000000002,,-1.2203016935584108,14.96,1.68,1.895858834771549,0.0052447696830493044
2019-03-31,2.07,0.6699999999999999,,-1.2312533627169202,16.84,1.79,1.7944809368678498,0.005993667171937634
2019-04-30,2.17,0.75,,-1.2178103950179082,17.84,1.9,1.579759055917914,0.0029541755077867418
2019-05-31,2.32,0.6200000000000001,,-1.1790547752730145,16.94,1.71,1.589133239927747,0.006296518857689466
2019-06-30,2.35,0.56,,-1.1793836522647911,17.06,1.79,1.6640736680281778,0.0019599866465607896
2019-07-31,2.14,0.5499999999999998,,-1.1776666944073888,17.48,1.99,1.6908434577610176,0.0018343427310828957
2019-08-31,2.39,0.44999999999999973,,-1.1753968028713544,16.99,1.94,1.875299941409717,0.0019934008829387262
2019-09-30,2.36,0.5,,-1.1568835241356874,15.6,1.91,1.8150952657063801,0.0012239269511296442
2019-10-31,2.35,0.6100000000000003,,-1.1562166923739454,15.47,1.89,1.7826368934229808,0.0007680831663287426
2019-11-30,2.49,0.56,,-1.13714499015268,15.4,1.83,1.8712999820709229,0.0009277400315431803
2019-12-31,2.34,0.6099999999999999,,-1.160075610276981,15.76,1.84,1.9995363517241032,0.0011005343580611992
2020-01-31,2.04,0.7999999999999998,,-1.165585436082063,16.72,2.51,2.293464618570666,0.0015417554928370226
2020-02-29,1.73,0.8600000000000001,,-1.1626475758866865,16.39,2.42,2.219914996623994,0.009160910359013681
2020-03-31,1.6,0.7899999999999998,,-1.1121944105894608,16.04,2.29,1.9812863631681965,0.00730371278055099
2020-04-30,1.0,1.29,,-1.117444456305356,15.79,2.23,2.17472725022923,0.0017248876744853255
2020-05-31,1.08,1.35,,-1.1195676526394127,17.34,2.23,2.1863894901777567,0.0008282115337751318
2020-06-30,1.8,0.79,,-1.1368071087536116,18.08,2.32,2.2635998952956426,0.0011525890381101447
2020-07-31,1.94,0.75,,-1.1800772847606353,20.8,3.07,2.298386946968411,0.01087460432122712
2020-08-31,2.13,0.6600000000000001,,-1.1719485685070996,21.52,3.14,2.248419046401978,0.0021726410097210316
2020-09-30,2.3,0.5099999999999998,,-1.132728464078757,20.57,3.07,2.3228739033574626,0.0020129744108514066
2020-10-31,2.57,0.48999999999999977,,-1.1211443002526629,20.91,3.16,2.3825411235584943,0.0015220924214206315
2020-11-30,2.77,0.3999999999999999,,-1.1315610271831948,21.24,3.16,2.6330523490905753,0.0014527997133193678
2020-12-31,2.62,0.5100000000000002,,-1.1365897382188184,21.54,3.28,2.720095686290576,0.0017813232264503411
